Company,Award,Email,Phone,Address
AgenT,Janssen Digital Solutions Quickfire Challenge,hello@agent-biotech.com,.+33 6 66 43 90 61,"STATION F, 14, rue Eugène Freyssinet, 75013 Paris, France"
A2A Pharmaceuticals,Artificial Intelligence for Drug Discovery QuickFire Challenge,Info@Atoms2applications.com,None,"Biolabs NY: 180 Varick St, New York, NY, 10014"
A4i,JLABS @ Toronto QuickFire Challenge,Amos Adler (memotext): amos@memotext.com; Dr. Klara Vichnevetski (camh): klara.vichnevetski@camh.ca,Amos: 1-877-MEMO-TXT; Klara: 416-595-6056,
Ab Initio,JLABS @ SSF QuickFire Challenge,solutions@abinitio.com,.+1 781-301-2000,"201 Spring Street, Lexington, MA 02421"
Acclinate,Maternal-fetal Immune Disorders QuickFire Challenge: Innovating for Health Equity ,hello@acclinate.com,256-435-2800,"1143 1st Avenue South Suite 114, Birmingham, AL 35233"
Adhesys Medical,JLABS @ TMC QuickFire Challenge,info@gruenthal.com,None,"Zieglerstraße 6, Aachen, Nordrhein-Westfalen 52078, DE"
Air99 (Airgami),Reimagining Respiratory Protection,support@air99.life,None,"2897 Mapleton Ave. #108, Boulder, CO 80301"
AlgometRx,"JLABS @ Washington, DC Children's QuickFire Challenge",jd@algometrx.com,202-841-0362,Washington D.C. Metro Area
AllergenIQ,Food Allergy Prevention QuickFire Challenge,care@allergeniq.com,Phone: (888) 773-0186; Fax: (877) 330-7366,"1400 N. Coit Road #405, McKinney, TX 75071"
AlphaBiomics,European Innovation QuickFire Challenge,info@alphabiomics.com,None,None
Alterna Therapeutics,CDI @ TMC QuickFire Challenge,OUT OF BUSINESS,,
Alydia Health,Maternal Health QuickFire Challenge,Acquired by Organon in Spring 2021,,
AmacaThera,None,info@amacathera.ca,416-360-2094,"MaRS Centre, West Tower, 661 University Ave Suite 1300, Toronto, ON M5G 0B7[email protected]"
Astarte Medical,"Bugs, Drugs, & Beyond: Translational Approaches to the Microbiome",info@astartemedical.com,215-595-2014,"10 N. Main Street, Yardley, PA 19067"
Atmo Bioscience,Victorian QuickFire Challenge: Driving Device Innovation,info@atmobiosciences.com,None,"3210 Merryfield Row, San Diego CA 92121 USA"
Atomo Diagnostics,Advance Queensland Johnson & Johnson Innovation QuickFire Challenge,info@atomodiagnostics.com,".+61 2 9099 4750, +61 460 772 000",None
Atro Medical,Veterans Lead QuickFire Challenge: Innovations for Vets,info@atromedical.com,None,"Transistorweg 5, 6534 AT Nijmegen, Liessentstraat 9a, 5405 AH Uden"
AvroBio,JLABS @ Toronto QuickFire Challenge,info@AVROBIO.com,617-914-8420,"100 Technology Square, Cambridge, MA, 02139, USA"
BabyLiveAdvice,Johnson & Johnson Nurses Innovate Quickfire Challenge in Maternal & Newborn Health,info@babyliveadvice.com,(800) 998-7042,"26565 Agoura Rd, Suite 200, Calabasas, CA 91302"
Bainisha,Advancing Joint Replacement Surgery QuickFire Challenge,info@bainisha.com​,.+32 492 72 53 27,"Leeuwerikstraat 34, B-9160 Lokeren, Belgium"
Barostitch,CDI @ TMC QuickFire Challenge,None,None,None
BestHealth4U,None,info@besthealth4u.pt,None,"Praça Conde de Agrolongo, Edifícion GNRation, nº123, São João do Souto, Braga, Portugal"
